Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Daewoo,Kalos,0.64,Hatchback,0.21999921999922,0.25,Petrol,Manual,0.018036072144288578
Nissan,Almera,0.64,Hatchback,0.08999908999909,0.2708333333333333,Petrol,Manual,0.008016032064128256
Renault,Grand Scenic,0.84,Minivan,0.164999164999165,0.2708333333333333,Diesel,Manual,0.07314629258517034
Honda,Clarity,0.94,Hatchback,0.035999035999036,0.2708333333333333,Plug-in Hybrid,Automatic,0.1833567134268537
Toyota,Verso,0.88,Minivan,0.101999101999102,0.3333333333333333,Petrol,Automatic,0.12324649298597194
BMW,5 Series,0.66,Sedan,0.002898002898002898,0.4791666666666667,Petrol,Manual,0.05911823647294589
Mitsubishi,Outlander,0.64,Crossover,0.20836620836620837,0.375,Petrol,Manual,0.04408817635270541
Volkswagen,Touran,0.8,Minivan,0.167999167999168,0.25,Petrol,Manual,0.07814629258517033
Toyota,Prius Prime,0.96,Hatchback,0.002499002499002499,0.3333333333333333,Plug-in Hybrid,Automatic,0.18836673346693386
Volkswagen,Transporter,0.66,Microvan,0.18999918999919,0.35333333333333333,Diesel,Manual,0.061122244488977955
Skoda,Octavia,0.8,Universal,0.20999920999921,0.25,Petrol,Manual,0.06212424849699399
Lincoln,MKZ,0.86,Sedan,0.15999915999916,0.375,Hybrid,Automatic,0.12024048096192384
Renault,Scenic,0.66,Universal,0.17999917999918,0.2708333333333333,Diesel,Manual,0.031062124248496994
Mercedes,Series (W123),0.26,Universal,0.0999990999991,0.4583333333333333,Diesel,Manual,0.008016032064128256
Toyota,Land Cruiser Prado,0.72,Crossover,0.201999201999202,0.5208333333333334,Metan/Propan,Automatic,0.14428857715430862
Volkswagen,Polo,0.92,Hatchback,0.16999916999917,0.25458333333333333,Diesel,Manual,0.08016032064128256
Volkswagen,Jetta,0.84,Sedan,0.197999197999198,0.25,Hybrid,Automatic,0.08216432865731463
KIA,Rio,0.66,Universal,0.18345318345318345,0.22916666666666666,Petrol,Manual,0.023046092184368736
BMW,X6,0.84,Crossover,0.103999103999104,0.5789583333333334,Petrol,Automatic,0.3076152304609218
Toyota,Corolla,0.7,Hatchback,0.118999118999119,0.2916666666666667,Petrol,Automatic,0.05511022044088176
Opel,Corsa,0.72,Hatchback,0.282999282999283,0.22916666666666666,Diesel,Manual,0.033056112224448896
Toyota,Auris,0.92,Hatchback,0.145999145999146,0.3333333333333333,Hybrid,Automatic,0.11723446893787576
Nissan,Qashqai,0.76,Crossover,0.201999201999202,0.3729166666666667,Petrol,Manual,0.06913827655310621
Ford,C-Max,0.9,Microvan,0.140999140999141,0.2708333333333333,Diesel,Manual,0.08817635270541083
Renault,Megane,0.84,Minivan,0.21999921999922,0.2708333333333333,Diesel,Manual,0.04809619238476954
Renault,Grand Scenic,0.74,Hatchback,0.232011232011232,0.2708333333333333,Diesel,Manual,0.03507014028056112
KIA,Sorento,0.94,SUV,0.038998038998039,0.375,Diesel,Automatic,0.24649298597194388
Nissan,Qashqai,0.86,Crossover,0.218999218999219,0.2708333333333333,Diesel,Manual,0.1082064128256513
Land Rover,Freelander,0.72,SUV,0.2999992999993,0.4166666666666667,Diesel,Automatic,0.09018036072144289
Mazda,626,0.46,Sedan,0.2999992999993,0.0,Metan/Propan,Manual,0.17835671342685372
Toyota,Prius,0.8,Hatchback,0.120999120999121,0.3333333333333333,Hybrid,Automatic,0.07715430861723446
Hyundai,Matrix,0.66,Universal,0.24999924999925,0.2708333333333333,Diesel,Manual,0.03807615230460922
Toyota,Auris,0.86,Universal,0.1999991999992,0.24791666666666667,Diesel,Manual,0.0841683366733467
Audi,Q5,0.84,SUV,0.142999142999143,0.375,Petrol,Automatic,0.17685370741482967
Volkswagen,Caddy,0.84,Universal,0.173999173999174,0.375,Diesel,Manual,0.09468937875751503
Volkswagen,Golf,0.76,Universal,0.1999991999992,0.25,Petrol,Manual,0.04609218436873747
Nissan,Qashqai,0.72,Crossover,0.13765913765913765,0.2708333333333333,Diesel,Manual,0.06412825651302605
Opel,Astra,0.8,Universal,0.21354721354721354,0.22916666666666666,Diesel,Manual,0.05460921843687375
Toyota,Yaris,0.7,Sedan,0.1930951930951931,0.2708333333333333,Petrol,Manual,0.03507014028056112
Opel,Calibra,0.42,Coupe,0.3999993999994,0.375,Metan/Propan,Manual,0.014028056112224449
Renault,Kadjar,0.9,Crossover,0.15042415042415042,0.2708333333333333,Diesel,Automatic,0.14819639278557115
Ford,Fusion,0.94,Sedan,0.104999104999105,0.375,Hybrid,Automatic,0.14829659318637275
Volkswagen,Passat,0.58,Combi,0.190999190999191,0.3333333333333333,Metan/Propan,Automatic,0.03657314629258517
Renault,Clio,0.54,Hatchback,0.12944712944712944,0.2916666666666667,Petrol,Automatic,0.022034068136272546
Renault,Grand Espace,0.88,Minivan,0.167999167999168,0.2916666666666667,Diesel,Automatic,0.1848697394789579
BMW,3 Series,0.46,Sedan,0.17999917999918,0.2916666666666667,Petrol,Manual,0.022044088176352707
Skoda,Yeti,0.88,Crossover,0.14999914999915,0.25,Petrol,Automatic,0.10821643286573146
Land Rover,Discovery,0.72,SUV,0.222999222999223,0.5208333333333334,Diesel,Automatic,0.14829659318637275
Volkswagen,Sharan,0.8,Universal,0.140999140999141,0.25,Petrol,Manual,0.09619238476953908
Volkswagen,Passat,0.64,Sedan,0.24999924999925,0.35875,Diesel,Automatic,0.04408817635270541
Mercedes,E Class,0.7,Sedan,0.24999924999925,0.4166666666666667,Diesel,Automatic,0.09818637274549098
Opel,Astra,0.8,Universal,0.175999175999176,0.22916666666666666,Diesel,Manual,0.05811623246492986
Renault,Grand Scenic,0.86,Universal,0.166999166999167,0.2708333333333333,Diesel,Automatic,0.0841683366733467
BMW,7 Series,0.74,Sedan,0.386999386999387,0.020833333333333332,Petrol,Automatic,0.11823647294589178
BMW,7 Series,0.8,Sedan,0.17999917999918,0.583125,Diesel,Automatic,0.218436873747495
Peugeot,807,0.7,Minivan,0.16999916999917,0.375,Diesel,Automatic,0.018036072144288578
Honda,CR-V,0.84,SUV,0.1784991784991785,0.4166666666666667,Diesel,Manual,0.15531062124248496
Skoda,Superb,0.82,Sedan,0.264999264999265,0.3333333333333333,Petrol,Automatic,0.08816633266533067
Mercedes,E Class,0.62,Sedan,0.3311993311993312,0.4166666666666667,Diesel,Automatic,0.06211422845691383
Skoda,Superb,0.92,Sedan,0.11999911999912,0.3747916666666667,Petrol,Automatic,0.2374749498997996
Volkswagen,Jetta,0.84,Sedan,0.10999910999911,0.25,Hybrid,Automatic,0.0781563126252505
Hyundai,ix35,0.78,Pickup,0.18999918999919,0.375,Diesel,Automatic,0.11823647294589178
Toyota,Prius c,0.86,Hatchback,0.14494614494614494,0.27,Hybrid,Automatic,0.07313627254509018
Renault,Grand Scenic,0.82,Universal,0.17999917999918,0.2708333333333333,Diesel,Manual,0.07313627254509018
BMW,X5,0.82,SUV,0.156999156999157,0.5833333333333334,Petrol,Automatic,0.1733366733466934
Renault,Talisman,0.9,Sedan,0.15112915112915112,0.2708333333333333,Diesel,Manual,0.12323647294589178
Renault,Megane,0.7,Universal,0.16999916999917,0.375,Metan/Propan,Manual,0.027054108216432865
Nissan,Juke,0.8,SUV,0.154999154999155,0.2916666666666667,Petrol,Automatic,0.09118236472945891
Subaru,Trezia,0.8,Hatchback,0.115999115999116,0.25,Diesel,Automatic,0.07114228456913828
Dacia,Logan,0.72,Sedan,0.184999184999185,0.2708333333333333,Diesel,Manual,0.03206412825651302
Nissan,X-Trail,0.88,SUV,0.123999123999124,0.2916666666666667,Diesel,Automatic,0.1282565130260521
Mercedes,C Class,0.88,Universal,0.221999221999222,0.375,Plug-in Hybrid,Automatic,0.17334669338677355
Toyota,Rav 4,0.9,Crossover,0.1334931334931335,0.47791666666666666,Hybrid,Automatic,0.21342685370741482
Mercedes,S Class,0.6,Sedan,0.25082925082925084,0.7916666666666666,Diesel,Automatic,0.045090180360721446
Datsun,on-DO,0.9,Sedan,0.14999914999915,0.29083333333333333,Metan/Propan,Manual,0.03006012024048096
Seat,Ibiza,0.8,Universal,0.18999918999919,0.20833333333333334,Diesel,Manual,0.04909819639278557
Nissan,Juke,0.82,Crossover,0.123999123999124,0.2916666666666667,Petrol,Automatic,0.09818637274549098
Audi,A4,0.52,Sedan,0.2999992999993,0.3333333333333333,Metan/Propan,Automatic,0.025050100200400802
Opel,Astra,0.82,Universal,0.1999991999992,0.22916666666666666,Diesel,Manual,0.05811623246492986
