Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Volkswagen,Touran,0.3819568339777266,Minivan,-0.13784414720838944,-0.7660461393613198,Petrol,Manual,-0.14891940320338426
Toyota,Prius Prime,1.4863211732548836,Hatchback,-1.8074268939311453,-0.10971540409891246,Plug-in Hybrid,Automatic,1.006914952786269
Volkswagen,Transporter,-0.5843619628897857,Microvan,0.08409434480309473,0.04780397236406529,Diesel,Manual,-0.32744327327851347
Skoda,Octavia,0.3819568339777266,Universal,0.28585661026808035,-0.7660461393613198,Petrol,Manual,-0.31693568822406204
Lincoln,MKZ,0.7960934612066605,Sedan,-0.21854905339438369,0.21844996353229118,Hybrid,Automatic,0.2925042449341188
Renault,Scenic,-0.5843619628897857,Universal,-0.01678678792939807,-0.601963455545718,Diesel,Manual,-0.6426708249120553
Mercedes,Series (W123),-3.345272811082678,Universal,-0.8238358497893405,0.8747806987946986,Diesel,Manual,-0.8843452811644373
Toyota,Land Cruiser Prado,-0.17022533566085182,Crossover,0.2051517040820861,1.367028750241504,Metan/Propan,Automatic,0.5446862862409523
Volkswagen,Polo,1.2102300884355943,Hatchback,-0.11766792066189087,-0.7299479489218874,Diesel,Manual,-0.12779915724393698
Volkswagen,Jetta,0.6580479187970159,Sedan,0.16479925098908899,-0.7660461393613198,Hybrid,Automatic,-0.10678398713503418
KIA,Rio,-0.5843619628897857,Universal,0.018057555316404947,-0.9301288231769216,Petrol,Manual,-0.7267315053476664
BMW,X6,0.6580479187970159,Crossover,-0.7834833966963434,1.824819438087033,Petrol,Automatic,2.2574226501165295
Toyota,Corolla,-0.30827087807049647,Hatchback,-0.6321616975976042,-0.43788077173011614,Petrol,Automatic,-0.3904887836052218
Opel,Corsa,-0.17022533566085182,Hatchback,1.0222888792152778,-0.9301288231769216,Diesel,Manual,-0.621760730653697
Toyota,Auris,1.2102300884355943,Hatchback,-0.35978263921987363,-0.10971540409891246,Hybrid,Automatic,0.2609814897707646
Nissan,Qashqai,0.10586574915843741,Crossover,0.2051517040820861,0.202041695150731,Petrol,Manual,-0.24338259284290228
Ford,C-Max,1.0721845460259498,Microvan,-0.41022320558612,-0.601963455545718,Diesel,Manual,-0.043738476808325814
Renault,Megane,0.6580479187970159,Minivan,0.3867377430005732,-0.601963455545718,Diesel,Manual,-0.46404187898638155
Renault,Grand Scenic,-0.03217979325120721,Hatchback,0.5079161596388435,-0.601963455545718,Diesel,Manual,-0.6006404846942497
KIA,Sorento,1.348275630845239,SUV,-1.43922084757082,0.21844996353229118,Diesel,Automatic,1.6164599617949944
Nissan,Qashqai,0.7960934612066605,Crossover,0.37664962972732385,-0.601963455545718,Diesel,Manual,0.16630814843015754
Land Rover,Freelander,-0.17022533566085182,SUV,1.1937868048605156,0.5466153311634948,Diesel,Automatic,-0.02272330669942303
Mazda,626,-1.9648173869862318,Sedan,1.1937868048605156,-2.7350383451485416,Metan/Propan,Manual,0.9019441780922997
Toyota,Prius,0.3819568339777266,Hatchback,-0.6119854710511057,-0.10971540409891246,Hybrid,Automatic,-0.15932191240729116
Hyundai,Matrix,-0.5843619628897857,Universal,0.6893811411980516,-0.601963455545718,Diesel,Manual,-0.5691177295308955
Toyota,Auris,0.7960934612066605,Universal,0.18497547753558755,-0.78245440774288,Diesel,Manual,-0.08576881702613139
Audi,Q5,0.6580479187970159,SUV,-0.39004697903962143,0.21844996353229118,Petrol,Automatic,0.8861828005106225
Volkswagen,Caddy,0.6580479187970159,Universal,-0.07731546756889375,0.21844996353229118,Diesel,Manual,0.02456082604560824
Volkswagen,Golf,0.10586574915843741,Universal,0.18497547753558755,-0.7660461393613198,Petrol,Manual,-0.48505704909528435
Nissan,Qashqai,-0.17022533566085182,Crossover,-0.4439175039187726,-0.601963455545718,Diesel,Manual,-0.2959205181151593
Opel,Astra,0.3819568339777266,Universal,0.3216492361615688,-0.9301288231769216,Diesel,Manual,-0.3957425761324475
